"ID","Long","Lat","Elevation","Race","GBS","Elevation_class","id","general_identifier","bank_number","collnumb","colldate","Sample.ID.of.DNA.from.single.plants.used.in.GWAS","CIMMYT_ID","SeeD_Elevation","Elevation_flag","Pair","Replaced_line"
"CIMMYTMA-000449",-100.726374,28.26979,356,"TUXPEN",TRUE,"Low",189,5474,"CIMMYTMA-BANK-000449","COAH64","1952-02-03","SEEDGWAS3809","CIMMYTMA 449",356,FALSE,"Mex_20",NA
"CIMMYTMA-000547",-99.632358,21.445085,562,"TUXPEN",FALSE,"Low",238,5778,"CIMMYTMA-BANK-000547","QUER50","","","CIMMYTMA 547",562,FALSE,"Mex_30",NA
"CIMMYTMA-000554",-101.25,21.01666667,2064,"CELAYA",TRUE,"High",240,5782,"CIMMYTMA-BANK-000554","GUAN4","1943-01-01","SEEDGWAS2678","CIMMYTMA 554",2064,FALSE,"Mex_30",NA
"CIMMYTMA-000645",-104.563018,29.566727,798,"CELAYA",FALSE,"Low",8489,243742,"CIMMYTMA-BANK-000645","CHIH15","1943-01-01","","CIMMYTMA 645",798,FALSE,"Mex_11",NA
"CIMMYTMA-000686",-95.436809,18.589859,30,"TUXPEN",FALSE,"Low",8511,243764,"CIMMYTMA-BANK-000686","VERA126","1952-01-01","","CIMMYTMA 686",30,FALSE,"Mex_7",NA
"CIMMYTMA-000861",-107.460246,24.824405,46,"CHAPAL",FALSE,"Low",8640,243893,"CIMMYTMA-BANK-000861","SINA2","1943-01-01","","CIMMYTMA 861",46,FALSE,"Mex_29",NA
"CIMMYTMA-001535",-99.8,20.7,2039,"CONNOR",FALSE,"High",9107,244360,"CIMMYTMA-BANK-001535","QUER56","","","CIMMYTMA 1535",2039,FALSE,"Mex_13",NA
"CIMMYTMA-001968",-98.68333333,18.88333333,2261,"PEPITI",FALSE,"High",9421,244674,"CIMMYTMA-BANK-001968","MORE37","1967-01-01","","CIMMYTMA 1968",2261,FALSE,"Mex_27",NA
"CIMMYTMA-002335",-97.382222,20.43027778,109,"TUXPEN",FALSE,"Low",768,9335,"CIMMYTMA-BANK-002335","VERA77","1948-01-01","","CIMMYTMA 2335",109,FALSE,"Mex_3",NA
"CIMMYTMA-002345",-96.708139,19.855393,372,"TUXPEN",FALSE,"Low",9686,244939,"CIMMYTMA-BANK-002345","VERA118","1952-02-07","","CIMMYTMA 2345",372,FALSE,"Mex_26","CIMMYTMA-029313"
"CIMMYTMA-003229",-96.87,20.32,5,"TUXPEN",TRUE,"Low",971,11474,"CIMMYTMA-BANK-003229","VERA142","1959-07-02","SEEDGWAS156","CIMMYTMA 3229",5,FALSE,"Mex_25",NA
"CIMMYTMA-003266",-97.75,21.1,88,"TEPECI",FALSE,"Low",10357,245610,"CIMMYTMA-BANK-003266","VERA201","1959-07-08","","CIMMYTMA 3266",88,FALSE,"Mex_22",NA
"CIMMYTMA-005266",-91.43333333,15.28333333,2071,"OLOTON",FALSE,"High",11769,247022,"CIMMYTMA-BANK-005266","GUAT434","1952-01-01","","CIMMYTMA 5266",2071,FALSE,"Mex_21","CIMMYTMA-027739"
"CIMMYTMA-005339",-102.8,19.06,324,"VANDEN",FALSE,"Low",11832,247085,"CIMMYTMA-BANK-005339","MICH180","1952-02-05","","CIMMYTMA 5339",324,FALSE,"Mex_27",NA
"CIMMYTMA-005460",-100.65,18.35,245,"TUXPEN",TRUE,"Low",1621,16739,"CIMMYTMA-BANK-005460","GUER51","1947-01-01","SEEDGWAS3869","CIMMYTMA 5460",245,FALSE,"Mex_1",NA
"CIMMYTMA-005606",-102.2666667,19.65,2287,"CACAHU",FALSE,"High",11999,247252,"CIMMYTMA-BANK-005606","MICH355","1970-01-16","","CIMMYTMA 5606",2287,FALSE,"Mex_15",NA
"CIMMYTMA-005613",-101.582675,19.499015,2280,"MUSHIT",FALSE,"High",12006,247259,"CIMMYTMA-BANK-005613","MICH371","1970-01-16","","CIMMYTMA 5613",2280,FALSE,"Mex_25",NA
"CIMMYTMA-006081",-97.867153,17.190837,2338,"CONICO",TRUE,"High",1807,19758,"CIMMYTMA-BANK-006081","OAXA350","1970-02-12","SEEDGWAS2777","CIMMYTMA 6081",2338,FALSE,"Mex_14",NA
"CIMMYTMA-007015",-105.3333333,20.31666667,655,"TUXPEN",TRUE,"Low",2011,20644,"CIMMYTMA-BANK-007015","JALI276","1968-11-14","SEEDGWAS3232","CIMMYTMA 7015",655,FALSE,"Mex_4",NA
"CIMMYTMA-007026",-105.1666667,21.2,8,"TUXPEN",FALSE,"Low",13069,248322,"CIMMYTMA-BANK-007026","NAYA149","1968-01-01","","CIMMYTMA 7026",8,FALSE,"Mex_13",NA
"CIMMYTMA-007076",-104.8833333,21.71666667,177,"BOFO",FALSE,"Low",13097,248350,"CIMMYTMA-BANK-007076","NAYA222","1968-01-01","","CIMMYTMA 7076",177,FALSE,"Mex_18",NA
