"Field","Rep","Row","Pedigree","old_Pedigree","Source","ID","Block","Pair","Elevation_class"
"Metepec",1,1,"SA_24-High",NA,"MBH","CIMMYTMA-012541",1,"SA_24","High"
"Metepec",1,2,"SA_24-Low",NA,"MBH","CIMMYTMA-008993",1,"SA_24","Low"
"Metepec",1,3,"Check-Low",NA,"SFG_Check",NA,1,"Check","Low"
"Metepec",1,4,"Check-High",NA,"SFG_Check",NA,1,"Check","High"
"Metepec",1,5,"SA_15-High",NA,"SFG","CIMMYTMA-024949",1,"SA_15","High"
"Metepec",1,6,"SA_15-Low",NA,"SFG","CIMMYTMA-011857",1,"SA_15","Low"
"Metepec",1,7,"SA_8-High",NA,"MBH","CIMMYTMA-012342",1,"SA_8","High"
"Metepec",1,8,"SA_8-Low",NA,"MBH","CIMMYTMA-026062",1,"SA_8","Low"
"Metepec",1,9,"SA_3-Low",NA,"SFG","CIMMYTMA-010248",1,"SA_3","Low"
"Metepec",1,10,"SA_3-High",NA,"SFG","CIMMYTMA-013311",1,"SA_3","High"
"Metepec",1,11,"Mex_4-Low",NA,"MBH","CIMMYTMA-007015",1,"Mex_4","Low"
"Metepec",1,12,"Mex_4-High",NA,"MBH","CIMMYTMA-008102",1,"Mex_4","High"
"Metepec",1,13,"Mex_17-Low",NA,"SFG","CIMMYTMA-017793",1,"Mex_17","Low"
"Metepec",1,14,"Mex_17-High",NA,"SFG","CIMMYTMA-013920",1,"Mex_17","High"
"Metepec",1,15,"Mex_16-Low",NA,"MBH","CIMMYTMA-007344",1,"Mex_16","Low"
"Metepec",1,16,"Mex_16-High",NA,"MBH","CIMMYTMA-021113",1,"Mex_16","High"
"Metepec",1,17,"Mex_3-Low",NA,"SFG","CIMMYTMA-002335",1,"Mex_3","Low"
"Metepec",1,18,"Mex_3-High",NA,"SFG","CIMMYTMA-001398",1,"Mex_3","High"
"Metepec",1,19,"SA_22-High",NA,"MBH","CIMMYTMA-018244",2,"SA_22","High"
"Metepec",1,20,"SA_22-Low",NA,"SFG","CIMMYTMA-026034",2,"SA_22","Low"
"Metepec",1,21,"Mex_30-High",NA,"SFG","CIMMYTMA-000554",2,"Mex_30","High"
"Metepec",1,22,"Mex_30-Low",NA,"SFG","CIMMYTMA-000547",2,"Mex_30","Low"
"Metepec",1,23,"Check-High",NA,"SFG_Check",NA,2,"Check","High"
"Metepec",1,24,"Check-Low",NA,"SFG_Check",NA,2,"Check","Low"
"Metepec",1,25,"Mex_13-High",NA,"SFG","CIMMYTMA-001535",2,"Mex_13","High"
"Metepec",1,26,"Mex_13-Low",NA,"SFG","CIMMYTMA-007026",2,"Mex_13","Low"
"Metepec",1,27,"Mex_31-High","Mex_2-High","MBH","CIMMYTMA-002276",2,"Mex_31","High"
