"Field","Rep","Row","Pedigree","old_Pedigree","Mixed_source","Source","ID","Block","Pair","Elevation_class"
"Metepec",1,1,"SA_16-Low","","","SFG","CIMMYTMA-011854",1,"SA_16","Low"
"Metepec",1,2,"SA_16-High","","","SFG","CIMMYTMA-015009",1,"SA_16","High"
"Metepec",1,3,"Check-Low",NA,"","SFG_Check",NA,1,"Check","Low"
"Metepec",1,4,"Check-High",NA,"","SFG_Check",NA,1,"Check","High"
"Metepec",1,5,"SA_1-Low","","","SFG","CIMMYTMA-016874",1,"SA_1","Low"
"Metepec",1,6,"SA_1-High","","","SFG","CIMMYTMA-015032",1,"SA_1","High"
"Metepec",1,7,"SA_8-High","","","MBH","CIMMYTMA-012342",1,"SA_8","High"
"Metepec",1,8,"SA_8-Low","","","MBH","CIMMYTMA-026062",1,"SA_8","Low"
"Metepec",1,9,"SA_21-Low","","","MBH","CIMMYTMA-009025",1,"SA_21","Low"
"Metepec",1,10,"SA_21-High","","","MBH","CIMMYTMA-024925",1,"SA_21","High"
"Metepec",1,11,"SA_32-High","SA_13-High","","SFG","CIMMYTMA-008361",1,"SA_32","High"
"Metepec",1,12,"SA_32-Low","SA_18-Low","","SFG","CIMMYTMA-015086",1,"SA_32","Low"
"Metepec",1,13,"Mex_8-High","","","MBH","CIMMYTMA-007584",1,"Mex_8","High"
"Metepec",1,14,"Mex_8-Low","","","MBH","CIMMYTMA-023180",1,"Mex_8","Low"
"Metepec",1,15,"Mex_29-High","","","SFG","CIMMYTMA-013374",1,"Mex_29","High"
"Metepec",1,16,"Mex_29-Low","","","SFG","CIMMYTMA-000861",1,"Mex_29","Low"
"Metepec",1,17,"Mex_18-High","","","SFG","CIMMYTMA-021313",1,"Mex_18","High"
"Metepec",1,18,"Mex_18-Low","","","SFG","CIMMYTMA-007076",1,"Mex_18","Low"
"Metepec",1,19,"Mex_3-Low","","","MBH","CIMMYTMA-002335",1,"Mex_3","Low"
"Metepec",1,20,"Mex_3-High","","","MBH","CIMMYTMA-001398",1,"Mex_3","High"
"Metepec",1,21,"Check-Low",NA,"","SFG_Check",NA,2,"Check","Low"
"Metepec",1,22,"Check-High",NA,"","SFG_Check",NA,2,"Check","High"
"Metepec",1,23,"Mex_17-Low","","","SFG","CIMMYTMA-017793",2,"Mex_17","Low"
"Metepec",1,24,"Mex_17-High","","","SFG","CIMMYTMA-013920",2,"Mex_17","High"
"Metepec",1,25,"Mex_10-High","","","SFG","CIMMYTMA-027432",2,"Mex_10","High"
"Metepec",1,26,"Mex_10-Low","","","SFG","CIMMYTMA-025027",2,"Mex_10","Low"
"Metepec",1,27,"Mex_19-High","","","MBH","CIMMYTMA-016642",2,"Mex_19","High"
"Metepec",1,28,"Mex_19-Low","","","MBH","CIMMYTMA-023971",2,"Mex_19","Low"
"Metepec",1,29,"Mex_22-Low","","","MBH","CIMMYTMA-003266",2,"Mex_22","Low"
"Metepec",1,30,"Mex_22-High","","","MBH","CIMMYTMA-013771",2,"Mex_22","High"
"Metepec",1,31,"SA_26-Low","","Yes","SFG","CIMMYTMA-017379",2,"SA_26","Low"
"Metepec",1,32,"SA_26-High","","Yes","MBH","CIMMYTMA-021797",2,"SA_26","High"
"Metepec",1,33,"SA_22-High","","Yes","MBH","CIMMYTMA-018244",2,"SA_22","High"
"Metepec",1,34,"SA_22-Low","","Yes","SFG","CIMMYTMA-026034",2,"SA_22","Low"
"Metepec",1,35,"SA_25-Low","","","MBH","CIMMYTMA-014383",2,"SA_25","Low"
"Metepec",1,36,"SA_25-High","","","MBH","CIMMYTMA-024848",2,"SA_25","High"
"Metepec",1,37,"Mex_16-Low","","","MBH","CIMMYTMA-007344",2,"Mex_16","Low"
"Metepec",1,38,"Mex_16-High","","","MBH","CIMMYTMA-021113",2,"Mex_16","High"
"Metepec",1,39,"SA_33-High","SA_16-High","","SFG","CIMMYTMA-015009",2,"SA_33","High"
"Metepec",1,40,"SA_33-Low","SA_10-Low","","SFG","CIMMYTMA-014453",2,"SA_33","Low"
"Metepec",1,41,"Mex_7-Low","","","MBH","CIMMYTMA-000686",3,"Mex_7","Low"
"Metepec",1,42,"Mex_7-High","","","MBH","CIMMYTMA-026945",3,"Mex_7","High"
"Metepec",1,43,"SA_27-High","","","SFG","CIMMYTMA-024902",3,"SA_27","High"
"Metepec",1,44,"SA_27-Low","","","SFG","CIMMYTMA-016818",3,"SA_27","Low"
"Metepec",1,45,"Mex_24-High","","","MBH","CIMMYTMA-025151",3,"Mex_24","High"
"Metepec",1,46,"Mex_24-Low","","","MBH","CIMMYTMA-025289",3,"Mex_24","Low"
"Metepec",1,47,"Mex_15-Low","","","MBH","CIMMYTMA-017852",3,"Mex_15","Low"
"Metepec",1,48,"Mex_15-High","","","MBH","CIMMYTMA-005606",3,"Mex_15","High"
"Metepec",1,49,"SA_24-Low","","","SFG","CIMMYTMA-008993",3,"SA_24","Low"
"Metepec",1,50,"SA_24-High","","","SFG","CIMMYTMA-012541",3,"SA_24","High"
"Metepec",1,51,"SA_29-Low","","","MBH","CIMMYTMA-026714",3,"SA_29","Low"
"Metepec",1,52,"SA_29-High","","","MBH","CIMMYTMA-024483",3,"SA_29","High"
"Metepec",1,53,"Check-High",NA,"","SFG_Check",NA,3,"Check","High"
"Metepec",1,54,"Check-Low",NA,"","SFG_Check",NA,3,"Check","Low"
"Metepec",1,55,"SA_2-High","","","SFG","CIMMYTMA-012291",3,"SA_2","High"
"Metepec",1,56,"SA_2-Low","","","SFG","CIMMYTMA-009022",3,"SA_2","Low"
"Metepec",1,57,"Mex_20-High","","","SFG","CIMMYTMA-021154",3,"Mex_20","High"
"Metepec",1,58,"Mex_20-Low","","","SFG","CIMMYTMA-000449",3,"Mex_20","Low"
"Metepec",1,59,"Mex_25-High","","","SFG","CIMMYTMA-005613",3,"Mex_25","High"
"Metepec",1,60,"Mex_25-Low","","","SFG","CIMMYTMA-003229",3,"Mex_25","Low"
"Metepec",1,61,"Check-High",NA,"","SFG_Check",NA,4,"Check","High"
"Metepec",1,62,"Check-Low",NA,"","SFG_Check",NA,4,"Check","Low"
"Metepec",1,63,"Mex_9-Low","","","SFG","CIMMYTMA-020752",4,"Mex_9","Low"
"Metepec",1,64,"Mex_9-High","","","SFG","CIMMYTMA-027102",4,"Mex_9","High"
"Metepec",1,65,"SA_14-High","","","SFG","CIMMYTMA-018202",4,"SA_14","High"
"Metepec",1,66,"SA_14-Low","","","SFG","CIMMYTMA-014578",4,"SA_14","Low"
"Metepec",1,67,"SA_15-Low","","","SFG","CIMMYTMA-011857",4,"SA_15","Low"
"Metepec",1,68,"SA_15-High","","","SFG","CIMMYTMA-024949",4,"SA_15","High"
"Metepec",1,69,"Mex_14-Low","","","MBH","CIMMYTMA-025041",4,"Mex_14","Low"
"Metepec",1,70,"Mex_14-High","","","MBH","CIMMYTMA-006081",4,"Mex_14","High"
"Metepec",1,71,"Mex_5-Low","","","MBH","CIMMYTMA-018888",4,"Mex_5","Low"
"Metepec",1,72,"Mex_5-High","","","MBH","CIMMYTMA-014017",4,"Mex_5","High"
"Metepec",1,73,"Mex_4-High","","","MBH","CIMMYTMA-008102",4,"Mex_4","High"
"Metepec",1,74,"Mex_4-Low","","","MBH","CIMMYTMA-007015",4,"Mex_4","Low"
"Metepec",1,75,"SA_4-Low","","","MBH","CIMMYTMA-028912",4,"SA_4","Low"
"Metepec",1,76,"SA_4-High","","","MBH","CIMMYTMA-018676",4,"SA_4","High"
"Metepec",1,77,"Mex_1-High","","","SFG","CIMMYTMA-010234",4,"Mex_1","High"
"Metepec",1,78,"Mex_1-Low","","","SFG","CIMMYTMA-005460",4,"Mex_1","Low"
"Metepec",1,79,"SA_6-Low","","","SFG","CIMMYTMA-014588",4,"SA_6","Low"
