"","ID","Long","Lat","Elevation","Race","GBS","Elevation_class","Pair","id","general_identifier","bank_number","collnumb","colldate","Sample.ID.of.DNA.from.single.plants.used.in.GWAS","CIMMYT_ID","SeeD_Elevation","Elevation_flag","Replaced_line"
"1","CIMMYTMA-000250",-96.675921,16.826141,1526,"BOLITA",FALSE,"Mid","Mex_10",8257,243510,"CIMMYTMA-BANK-000250","OAXA40","1945-01-01","","CIMMYTMA 250",1502,FALSE,NA
"2","CIMMYTMA-000787",-91.943308,16.328624,1494,"",FALSE,"Mid","Mex_14",8589,243842,"CIMMYTMA-BANK-000787","CHIS116","1944-01-01","","CIMMYTMA 787",1494,FALSE,NA
"3","CIMMYTMA-001479",-102.3,19.98333333,1568,"TABLON",FALSE,"Mid","Mex_4",9063,244316,"CIMMYTMA-BANK-001479","MICH4","1943-01-01","","CIMMYTMA 1479",1568,FALSE,NA
"4","CIMMYTMA-001503",-102.310212,22.199415,1930,"CONNOR",TRUE,"Mid","Mex_5",534,7814,"CIMMYTMA-BANK-001503","AGUC14","1944-01-01","SEEDGWAS2707","CIMMYTMA 1503",1930,FALSE,NA
"5","CIMMYTMA-005843",-97.28339,16.233634,1512,"OLOTON",TRUE,"Mid","Mex_21",1727,17562,"CIMMYTMA-BANK-005843","OAXA233","1970-02-08","SEEDGWAS2433","CIMMYTMA 5843",1512,FALSE,NA
"6","CIMMYTMA-006802",-105.97864,28.611505,1425,"TUXPEN",TRUE,"Mid","Mex_16",1949,20504,"CIMMYTMA-BANK-006802","CHIH186","1968-01-01","SEEDGWAS4224","CIMMYTMA 6802",1425,FALSE,NA
"7","CIMMYTMA-006837",-107.8333333,28.96666667,1870,"TABLON",FALSE,"Mid","Mex_20",12940,248193,"CIMMYTMA-BANK-006837","CHIH223","1968-01-01","","CIMMYTMA 6837",1870,FALSE,NA
"8","CIMMYTMA-006939",-103.7373,22.394537,1358,"REVENT",FALSE,"Mid","Mex_12",13015,248268,"CIMMYTMA-BANK-006939","JALI293","1968-01-01","","CIMMYTMA 6939",1358,FALSE,NA
"9","CIMMYTMA-013453",-101.1833333,20.15,1828,"",FALSE,"Mid","Mex_2",17329,252582,"CIMMYTMA-BANK-011298","GUAN221","1977-12-22","","CIMMYTMA 13453",1828,FALSE,NA
"10","CIMMYTMA-013828",-103.3333333,20.66666667,1563,"CELAYA",FALSE,"Mid","Mex_30",17675,252928,"CIMMYTMA-BANK-011669","JALI123","1946-01-01","","CIMMYTMA 13828",1563,FALSE,NA
"11","CIMMYTMA-013975",-99.81409,21.049644,1332,"CHALQU",FALSE,"Mid","Mex_9",17806,253059,"CIMMYTMA-BANK-011816","QUER46","","","CIMMYTMA 13975",1332,FALSE,NA
"12","CIMMYTMA-016004",-101.9166667,21.36666667,1873,"CELAYA",FALSE,"Mid","Mex_19",19602,254855,"CIMMYTMA-BANK-013924","JALI343","1974-04-06","","CIMMYTMA 16004",1873,FALSE,NA
"13","CIMMYTMA-016355",-103.4166667,20.28333333,1530,"",FALSE,"Mid","Mex_25",19890,255143,"CIMMYTMA-BANK-014280","JALI414","","","CIMMYTMA 16355",1530,FALSE,NA
"14","CIMMYTMA-016387",-101.051197,20.526344,1729,"",FALSE,"Mid","Mex_3",19919,255172,"CIMMYTMA-BANK-014312","GUAN236","1977-12-27","","CIMMYTMA 16387",1729,FALSE,NA
"15","CIMMYTMA-018336",-102.764636,21.851035,1606,"CELAYA",TRUE,"Mid","Mex_18",3301,26205,"CIMMYTMA-BANK-022820","AGUC36","1952-02-04","SEEDGWAS4660","CIMMYTMA 18336",1606,FALSE,NA
"16","CIMMYTMA-018416",-98.519476,18.554474,1202,"",FALSE,"Mid","Mex_27",21233,256486,"CIMMYTMA-BANK-015911","PUEB233","1952-01-20","","CIMMYTMA 18416",1202,FALSE,NA
