"","ID","Long","Lat","Elevation","Race","GBS","Elevation_class","Pair","id","general_identifier","bank_number","collnumb","colldate","Sample.ID.of.DNA.from.single.plants.used.in.GWAS","CIMMYT_ID","SeeD_Elevation","Elevation_flag","Replaced_line"
"1","CIMMYTMA-003170",-76.256765,4.754947,1500,"COMUN",FALSE,"Mid","SA_23",10301,245554,"CIMMYTMA-BANK-003170","VALL409","1954-01-01","","CIMMYTMA 3170",1986,FALSE,NA
"2","CIMMYTMA-007909",-79.675427,-3.675761,1236,"GALLIN",FALSE,"Mid","SA_3",13736,248989,"CIMMYTMA-BANK-007909","ECUA383","1954-01-01","","CIMMYTMA 7909",1236,FALSE,NA
"3","CIMMYTMA-010421",-72.619485,-12.780901,1112,"",FALSE,"Mid","SA_2",15901,251154,"CIMMYTMA-BANK-010421","PERU","1968-06-01","","CIMMYTMA 10421",1112,FALSE,NA
"4","CIMMYTMA-011815",-67.768334,-16.104317,1412,"",FALSE,"Mid","SA_18",16622,251875,"CIMMYTMA-BANK-015253","BOLI396","1953-03-30","","CIMMYTMA 11815",1412,FALSE,NA
"5","CIMMYTMA-012388",-79.430915,-5.32969,1978,"",FALSE,"Mid","SA_24",16826,252079,"CIMMYTMA-BANK-021337","PIUR49","1962-08-01","","CIMMYTMA 12388",1978,FALSE,NA
"6","CIMMYTMA-012663",-76.143072,-9.849183,1966,"",FALSE,"Mid","SA_6",16927,252180,"CIMMYTMA-BANK-014777","PERU945","1953-06-01","","CIMMYTMA 12663",1966,FALSE,NA
"7","CIMMYTMA-014214",-64.76701,-17.950849,1800,"AYZUMA",FALSE,"Mid","SA_13",17992,253245,"CIMMYTMA-BANK-012054","BOZM0063","1977-09-13","","CIMMYTMA 14214",1777,FALSE,NA
"8","CIMMYTMA-014233",-64.56666667,-18.1,1360,"CUBABL",FALSE,"Mid","SA_1",18006,253259,"CIMMYTMA-BANK-012073","BOZM0093","1977-09-14","","CIMMYTMA 14233",1353,FALSE,NA
"9","CIMMYTMA-014335",-64.7,-21.4,1890,"PATILL",FALSE,"Mid","SA_30",18100,253353,"CIMMYTMA-BANK-012175","BOZM0348","1977-10-21","","CIMMYTMA 14335",2072,FALSE,NA
"10","CIMMYTMA-014567",-75.4,-10.56666667,1858,"",FALSE,"Mid","SA_22",18309,253562,"CIMMYTMA-BANK-012418","PAS.38","1981-09-01","","CIMMYTMA 14567",1858,FALSE,NA
"11","CIMMYTMA-014575",-77.237115,-5.930553,1000,"",FALSE,"Mid","SA_14",18317,253570,"CIMMYTMA-BANK-012426","SNMART58","1979-12-01","","CIMMYTMA 14575",815,FALSE,NA
"12","CIMMYTMA-014811",-68.317686,-15.312489,1006,"",FALSE,"Mid","SA_7",18535,253788,"CIMMYTMA-BANK-012520","BOLI523","1953-06-27","","CIMMYTMA 14811",1006,FALSE,NA
"13","CIMMYTMA-014823",-64.083629,-20.266687,1244,"",FALSE,"Mid","SA_25",18547,253800,"CIMMYTMA-BANK-012532","BOLI923","1954-06-28","","CIMMYTMA 14823",1244,FALSE,NA
"14","CIMMYTMA-014878",-79.220175,-4.258166,1550,"",FALSE,"Mid","SA_28",18592,253845,"CIMMYTMA-BANK-012587","ECUA632","1953-08-15","","CIMMYTMA 14878",1550,FALSE,NA
"15","CIMMYTMA-015038",-64.45,-22.03333333,1104,"",FALSE,"Mid","SA_17",18741,253994,"CIMMYTMA-BANK-013141","BOZM0904","","","CIMMYTMA 15038",1104,FALSE,NA
"16","CIMMYTMA-015082",-63.875506,-18.197621,1676,"",FALSE,"Mid","SA_15",18784,254037,"CIMMYTMA-BANK-013185","BOZM1110","","","CIMMYTMA 15082",1676,FALSE,NA
"17","CIMMYTMA-015732",-78.42646,-1.399065,1837,"",FALSE,"Mid","SA_31",19356,254609,"CIMMYTMA-BANK-013629","ECUA386","1952-07-15","","CIMMYTMA 15732",1837,FALSE,NA
"18","CIMMYTMA-015733",-78.742855,0.084835,1563,"",FALSE,"Mid","SA_26",19357,254610,"CIMMYTMA-BANK-013630","ECUA431","1952-07-31","","CIMMYTMA 15733",1563,FALSE,NA
"19","CIMMYTMA-016803",-71.881796,-16.708073,1248,"",FALSE,"Mid","SA_4",20273,255526,"CIMMYTMA-BANK-015102","AREQ.80","1978-01-01","","CIMMYTMA 16803",1248,FALSE,NA
"20","CIMMYTMA-016841",-76.95,-6.116666667,1147,"",FALSE,"Mid","SA_8",20311,255564,"CIMMYTMA-BANK-015139","SNMART30","1979-12-01","","CIMMYTMA 16841",1147,FALSE,NA
"21","CIMMYTMA-016944",-63.836848,-18.478497,1846,"",FALSE,"Mid","SA_21",20410,255663,"CIMMYTMA-BANK-014883","BOLI1134","1954-07-01","","CIMMYTMA 16944",1846,FALSE,NA
"22","CIMMYTMA-017149",-63.949143,-19.802454,1185,"",FALSE,"Mid","SA_10",20571,255824,"CIMMYTMA-BANK-015145","BOLI359","1953-06-02","","CIMMYTMA 17149",1185,FALSE,NA
"23","CIMMYTMA-017176",-67.449406,-16.300228,1681,"",FALSE,"Mid","SA_11",20589,255842,"CIMMYTMA-BANK-015162","BOLI480","1953-07-24","","CIMMYTMA 17176",1681,FALSE,NA
"24","CIMMYTMA-017308",-68.591021,-14.650366,1920,"",FALSE,"Mid","SA_27",20652,255905,"CIMMYTMA-BANK-015203","BOLI1122","1954-09-18","","CIMMYTMA 17308",1920,FALSE,NA
"25","CIMMYTMA-018195",-78.25,-6.633333333,1730,"MORCAJ",FALSE,"Mid","SA_20",21060,256313,"CIMMYTMA-BANK-015335","AMZ.18","1956-07-01","","CIMMYTMA 18195",1730,FALSE,NA
"26","CIMMYTMA-018689",-64.090414,-18.4902,1978,"",FALSE,"Mid","SA_16",21482,256735,"CIMMYTMA-BANK-015294","BOLI1100","1954-06-21","","CIMMYTMA 18689",1978,FALSE,NA
"27","CIMMYTMA-023793",-79.017814,-5.144631,1501,"",FALSE,"Mid","SA_5",25767,261020,"CIMMYTMA-BANK-021431","CAJ.217","1980-05-01","","CIMMYTMA 23793",1501,FALSE,NA
"28","CIMMYTMA-024489",-65.255424,-24.216859,1180,"CALCHA",FALSE,"Mid","SA_29",26138,261391,"CIMMYTMA-BANK-020825","ARZM09161","1977-07-01","","CIMMYTMA 24489",1180,FALSE,NA
"29","CIMMYTMA-025971",-72.78333333,-16.38333333,1176,"",FALSE,"Mid","SA_9",27284,262537,"CIMMYTMA-BANK-023110","AREQ.8","1953-01-01","","CIMMYTMA 25971",1176,FALSE,NA
"30","CIMMYTMA-028568",-64.688876,-22.278901,1548,"AM8HIL",FALSE,"Mid","SA_19",29514,264767,"CIMMYTMA-BANK-026017","ARZM08181","1980-01-01","","CIMMYTMA 28568",1548,FALSE,NA
